"lakeid","year4","gearid","effort","spname","total_caught"
"AL",1981,"BSEINE",11.0000,"ROCKBASS",7.0000
"AL",1981,"FYKNET",4.0000,"ROCKBASS",1.0000
"AL",1981,"MINNOW",20.0000,"ROCKBASS",1.0000
"AL",1981,"BSEINE",11.0000,"SMALLMOUTHBASS",1.0000
"AL",1981,"ELFISH",2.0000,"WALLEYE",5.0000
"AL",1981,"BSEINE",11.0000,"WHITESUCKER",5.0000
"AL",1981,"ELFISH",2.0000,"WHITESUCKER",11.0000
"AL",1981,"TRAMML",2.0000,"WHITESUCKER",8.0000
"AL",1981,"BSEINE",11.0000,"YELLOWPERCH",256.0000
"AL",1981,"ELFISH",2.0000,"YELLOWPERCH",55.0000
"AL",1981,"FYKNET",4.0000,"YELLOWPERCH",254.0000
"AL",1981,"MINNOW",20.0000,"YELLOWPERCH",3.0000
"AL",1981,"TRAMML",2.0000,"YELLOWPERCH",1.0000
"AL",1981,"VGN019",2.0000,"YELLOWPERCH",14.3280
"AL",1981,"VGN032",2.0000,"YELLOWPERCH",5.2220
"AL",1982,"BSEINE",18.0000,"BLACKCHINSHINER",1.0000
"AL",1982,"BSEINE",18.0000,"BLACKCRAPPIE",9.0000
"AL",1982,"ELFISH",4.0000,"BLACKCRAPPIE",4.0000
"AL",1982,"FYKNET",6.0000,"BLACKCRAPPIE",1.0000
"AL",1982,"TRAMML",2.0000,"BLACKCRAPPIE",6.0000
"AL",1982,"VGN032",2.0000,"BLACKCRAPPIE",0.9910
"AL",1982,"VGN038",2.0000,"BLACKCRAPPIE",2.9780
"AL",1982,"BSEINE",18.0000,"BLACKNOSESHINER",1.0000
"AL",1982,"BSEINE",18.0000,"BLUEGILL",10.0000
"AL",1982,"FYKNET",6.0000,"BLUEGILL",21.0000
"AL",1982,"TRAMML",2.0000,"BLUEGILL",3.0000
"AL",1982,"BSEINE",18.0000,"BLUNTNOSEMINNOW",9.0000
"AL",1982,"FYKNET",6.0000,"BLUNTNOSEMINNOW",7.0000
"AL",1982,"BSEINE",18.0000,"COMMONSHINER",20.0000
"AL",1982,"ELFISH",4.0000,"COMMONSHINER",1.0000
"AL",1982,"VGN032",2.0000,"COMMONSHINER",0.9910
"AL",1982,"BSEINE",18.0000,"GOLDENSHINER",15.0000
"AL",1982,"ELFISH",4.0000,"GOLDENSHINER",1.0000
"AL",1982,"BSEINE",18.0000,"IOWADARTER",1.0000
"AL",1982,"BSEINE",18.0000,"JOHNNYDARTER",31.0000
"AL",1982,"BSEINE",18.0000,"LARGEMOUTHBASS",7.0000
"AL",1982,"ELFISH",4.0000,"LARGEMOUTHBASS",3.0000
"AL",1982,"FYKNET",6.0000,"LARGEMOUTHBASS",25.0000
"AL",1982,"VGN019",2.0000,"LARGEMOUTHBASS",5.9050
"AL",1982,"BSEINE",18.0000,"LOGPERCH",15.0000
"AL",1982,"FYKNET",6.0000,"LOGPERCH",1.0000
"AL",1982,"BSEINE",18.0000,"MIMICSHINER",1.0000
"AL",1982,"ELFISH",4.0000,"MUSKELLUNGE",2.0000
"AL",1982,"BSEINE",18.0000,"NORTHERNPIKE",2.0000
"AL",1982,"ELFISH",4.0000,"NORTHERNPIKE",2.0000
"AL",1982,"FYKNET",6.0000,"NORTHERNPIKE",1.0000
"AL",1982,"ELFISH",4.0000,"PUMPKINSEED",2.0000
"AL",1982,"TRAMML",2.0000,"PUMPKINSEED",1.0000
"AL",1982,"BSEINE",18.0000,"ROCKBASS",9.0000
"AL",1982,"ELFISH",4.0000,"ROCKBASS",6.0000
"AL",1982,"FYKNET",6.0000,"ROCKBASS",4.0000
"AL",1982,"BSEINE",18.0000,"UNIDSUNFISH",1.0000
"AL",1982,"ELFISH",4.0000,"WALLEYE",4.0000
"AL",1982,"TRAMML",2.0000,"WALLEYE",1.0000
"AL",1982,"BSEINE",18.0000,"WHITESUCKER",1.0000
"AL",1982,"ELFISH",4.0000,"WHITESUCKER",19.0000
"AL",1982,"FYKNET",6.0000,"WHITESUCKER",1.0000
"AL",1982,"TRAMML",2.0000,"WHITESUCKER",8.0000
"AL",1982,"ELFISH",4.0000,"YELLOWBULLHEAD",1.0000
"AL",1982,"BSEINE",18.0000,"YELLOWPERCH",37.0000
"AL",1982,"ELFISH",4.0000,"YELLOWPERCH",8.0000
"AL",1982,"FYKNET",6.0000,"YELLOWPERCH",8.0000
"AL",1982,"VGN019",2.0000,"YELLOWPERCH",21.3890
"AL",1982,"VGN025",2.0000,"YELLOWPERCH",49.7450
"AL",1982,"VGN032",2.0000,"YELLOWPERCH",7.9810
"AL",1982,"VGN038",2.0000,"YELLOWPERCH",4.9950
"AL",1983,"BSEINE",15.0000,"BLACKCHINSHINER",3.0000
"AL",1983,"BSEINE",15.0000,"BLACKCRAPPIE",42.0000
"AL",1983,"ELFISH",4.0000,"BLACKCRAPPIE",8.0000
"AL",1983,"FYKNET",6.0000,"BLACKCRAPPIE",18.0000
"AL",1983,"TRAMML",2.0000,"BLACKCRAPPIE",4.0000
"AL",1983,"FYKNET",6.0000,"BLACKNOSESHINER",2.0000
"AL",1983,"BSEINE",15.0000,"BLUEGILL",102.0000
"AL",1983,"CRAYTR",28.0000,"BLUEGILL",2.0000
"AL",1983,"ELFISH",4.0000,"BLUEGILL",30.0000
"AL",1983,"FYKNET",6.0000,"BLUEGILL",78.0000
"AL",1983,"BSEINE",15.0000,"BLUNTNOSEMINNOW",10.0000
"AL",1983,"FYKNET",6.0000,"BLUNTNOSEMINNOW",1.0000
"AL",1983,"BSEINE",15.0000,"COMMONSHINER",4.0000
"AL",1983,"ELFISH",4.0000,"COMMONSHINER",3.0000
"AL",1983,"BSEINE",15.0000,"GOLDENSHINER",47.0000
"AL",1983,"ELFISH",4.0000,"GOLDENSHINER",2.0000
"AL",1983,"BSEINE",15.0000,"IOWADARTER",1.0000
"AL",1983,"BSEINE",15.0000,"LARGEMOUTHBASS",2.0000
"AL",1983,"ELFISH",4.0000,"LARGEMOUTHBASS",17.0000
"AL",1983,"FYKNET",6.0000,"LARGEMOUTHBASS",21.0000
"AL",1983,"BSEINE",15.0000,"LOGPERCH",2.0000
"AL",1983,"ELFISH",4.0000,"LOGPERCH",2.0000
"AL",1983,"ELFISH",4.0000,"NORTHERNPIKE",1.0000
"AL",1983,"FYKNET",6.0000,"NORTHERNPIKE",1.0000
"AL",1983,"TRAMML",2.0000,"NORTHERNPIKE",2.0000
"AL",1983,"BSEINE",15.0000,"PUMPKINSEED",9.0000
"AL",1983,"ELFISH",4.0000,"PUMPKINSEED",25.0000
"AL",1983,"FYKNET",6.0000,"PUMPKINSEED",4.0000
"AL",1983,"BSEINE",15.0000,"ROCKBASS",6.0000
"AL",1983,"CRAYTR",28.0000,"ROCKBASS",1.0000
"AL",1983,"ELFISH",4.0000,"ROCKBASS",8.0000
"AL",1983,"FYKNET",6.0000,"ROCKBASS",7.0000
"AL",1983,"BSEINE",15.0000,"SMALLMOUTHBASS",1.0000
"AL",1983,"CRAYTR",28.0000,"UNIDSUNFISH",2.0000
"AL",1983,"FYKNET",6.0000,"UNIDSUNFISH",147.0000
"AL",1983,"ELFISH",4.0000,"WALLEYE",4.0000
"AL",1983,"TRAMML",2.0000,"WALLEYE",2.0000
"AL",1983,"ELFISH",4.0000,"WHITESUCKER",14.0000
"AL",1983,"FYKNET",6.0000,"WHITESUCKER",3.0000
"AL",1983,"TRAMML",2.0000,"WHITESUCKER",11.0000
"AL",1983,"BSEINE",15.0000,"YELLOWBULLHEAD",5.0000
"AL",1983,"FYKNET",6.0000,"YELLOWBULLHEAD",2.0000
"AL",1983,"BSEINE",15.0000,"YELLOWPERCH",13.0000
"AL",1983,"ELFISH",4.0000,"YELLOWPERCH",59.0000
"AL",1983,"FYKNET",6.0000,"YELLOWPERCH",16.0000
"AL",1983,"TRAMML",2.0000,"YELLOWPERCH",1.0000
"AL",1983,"VGN019",2.0000,"YELLOWPERCH",59.6040
"AL",1983,"VGN032",2.0000,"YELLOWPERCH",0.7100
"AL",1984,"BSEINE",18.0000,"BLACKCHINSHINER",2.0000
"AL",1984,"BSEINE",18.0000,"BLACKCRAPPIE",14.0000
"AL",1984,"ELFISH",4.0000,"BLACKCRAPPIE",8.0000
"AL",1984,"FYKNET",6.0000,"BLACKCRAPPIE",7.0000
"AL",1984,"BSEINE",18.0000,"BLUEGILL",111.0000
"AL",1984,"ELFISH",4.0000,"BLUEGILL",22.0000
"AL",1984,"FYKNET",6.0000,"BLUEGILL",188.0000
"AL",1984,"BSEINE",18.0000,"BLUNTNOSEMINNOW",55.0000
"AL",1984,"BSEINE",18.0000,"COMMONSHINER",1.0000
"AL",1984,"BSEINE",18.0000,"GOLDENSHINER",30.0000
"AL",1984,"ELFISH",4.0000,"GOLDENSHINER",1.0000
"AL",1984,"BSEINE",18.0000,"JOHNNYDARTER",6.0000
"AL",1984,"BSEINE",18.0000,"LARGEMOUTHBASS",4.0000
"AL",1984,"ELFISH",4.0000,"LARGEMOUTHBASS",9.0000
"AL",1984,"FYKNET",6.0000,"LARGEMOUTHBASS",6.0000
"AL",1984,"BSEINE",18.0000,"MOTTLEDSCULPIN",2.0000
"AL",1984,"ELFISH",4.0000,"NORTHERNPIKE",3.0000
"AL",1984,"ELFISH",4.0000,"PUMPKINSEED",6.0000
"AL",1984,"FYKNET",6.0000,"PUMPKINSEED",12.0000
"AL",1984,"BSEINE",18.0000,"ROCKBASS",5.0000
"AL",1984,"ELFISH",4.0000,"ROCKBASS",7.0000
"AL",1984,"FYKNET",6.0000,"ROCKBASS",11.0000
"AL",1984,"ELFISH",4.0000,"SMALLMOUTHBASS",3.0000
"AL",1984,"FYKNET",6.0000,"SMALLMOUTHBASS",1.0000
"AL",1984,"ELFISH",4.0000,"WALLEYE",41.0000
"AL",1984,"TRAMML",2.0000,"WALLEYE",1.0000
"AL",1984,"ELFISH",4.0000,"WHITESUCKER",30.0000
"AL",1984,"TRAMML",2.0000,"WHITESUCKER",4.0000
"AL",1984,"FYKNET",6.0000,"YELLOWBULLHEAD",3.0000
"AL",1984,"BSEINE",18.0000,"YELLOWPERCH",11.0000
"AL",1984,"ELFISH",4.0000,"YELLOWPERCH",44.0000
"AL",1984,"FYKNET",6.0000,"YELLOWPERCH",3.0000
"AL",1984,"TRAMML",2.0000,"YELLOWPERCH",7.0000
"AL",1985,"BSEINE",18.0000,"BLACKCHINSHINER",4.0000
"AL",1985,"FYKNET",6.0000,"BLACKCHINSHINER",2.0000
"AL",1985,"BSEINE",18.0000,"BLACKCRAPPIE",25.0000
"AL",1985,"ELFISH",4.0000,"BLACKCRAPPIE",36.0000
"AL",1985,"FYKNET",6.0000,"BLACKCRAPPIE",6.0000
"AL",1985,"TRAMML",2.0000,"BLACKCRAPPIE",5.0000
"AL",1985,"VGN032",2.0000,"BLACKCRAPPIE",1.0540
"AL",1985,"BSEINE",18.0000,"BLUEGILL",38.0000
"AL",1985,"ELFISH",4.0000,"BLUEGILL",12.0000
"AL",1985,"FYKNET",6.0000,"BLUEGILL",59.0000
"AL",1985,"TRAMML",2.0000,"BLUEGILL",46.0000
"AL",1985,"BSEINE",18.0000,"BLUNTNOSEMINNOW",8.0000
"AL",1985,"BSEINE",18.0000,"GOLDENSHINER",80.0000
"AL",1985,"FYKNET",6.0000,"GOLDENSHINER",4.0000
"AL",1985,"VGN032",2.0000,"GOLDENSHINER",1.0100
"AL",1985,"BSEINE",18.0000,"IOWADARTER",1.0000
"AL",1985,"BSEINE",18.0000,"JOHNNYDARTER",1.0000
"AL",1985,"BSEINE",18.0000,"LARGEMOUTHBASS",4.0000
"AL",1985,"ELFISH",4.0000,"LARGEMOUTHBASS",3.0000
"AL",1985,"FYKNET",6.0000,"LARGEMOUTHBASS",21.0000
"AL",1985,"BSEINE",18.0000,"LOGPERCH",6.0000
"AL",1985,"FYKNET",6.0000,"LOGPERCH",2.0000
"AL",1985,"BSEINE",18.0000,"MOTTLEDSCULPIN",1.0000
"AL",1985,"BSEINE",18.0000,"MUSKELLUNGE",1.0000
"AL",1985,"ELFISH",4.0000,"MUSKELLUNGE",3.0000
"AL",1985,"VGN025",2.0000,"MUSKELLUNGE",1.0120
"AL",1985,"BSEINE",18.0000,"NORTHERNPIKE",1.0000
"AL",1985,"ELFISH",4.0000,"NORTHERNPIKE",7.0000
"AL",1985,"TRAMML",2.0000,"NORTHERNPIKE",1.0000
"AL",1985,"BSEINE",18.0000,"PUMPKINSEED",1.0000
"AL",1985,"ELFISH",4.0000,"PUMPKINSEED",3.0000
"AL",1985,"FYKNET",6.0000,"PUMPKINSEED",14.0000
"AL",1985,"TRAMML",2.0000,"PUMPKINSEED",1.0000
"AL",1985,"BSEINE",18.0000,"ROCKBASS",9.0000
"AL",1985,"ELFISH",4.0000,"ROCKBASS",2.0000
"AL",1985,"FYKNET",6.0000,"ROCKBASS",11.0000
"AL",1985,"BSEINE",18.0000,"WALLEYE",1.0000
"AL",1985,"ELFISH",4.0000,"WALLEYE",40.0000
"AL",1985,"TRAMML",2.0000,"WALLEYE",2.0000
"AL",1985,"VGN019",2.0000,"WALLEYE",1.0070
"AL",1985,"ELFISH",4.0000,"WHITESUCKER",19.0000
"AL",1985,"FYKNET",6.0000,"WHITESUCKER",1.0000
"AL",1985,"TRAMML",2.0000,"WHITESUCKER",2.0000
"AL",1985,"BSEINE",18.0000,"YELLOWBULLHEAD",3.0000
"AL",1985,"ELFISH",4.0000,"YELLOWBULLHEAD",1.0000
"AL",1985,"FYKNET",6.0000,"YELLOWBULLHEAD",2.0000
"AL",1985,"BSEINE",18.0000,"YELLOWPERCH",27.0000
"AL",1985,"ELFISH",4.0000,"YELLOWPERCH",17.0000
"AL",1985,"FYKNET",6.0000,"YELLOWPERCH",96.0000
"AL",1985,"TRAMML",2.0000,"YELLOWPERCH",16.0000
"AL",1985,"VGN019",2.0000,"YELLOWPERCH",2.2270
"AL",1986,"BSEINE",18.0000,"BLACKCRAPPIE",20.0000
"AL",1986,"ELFISH",4.0000,"BLACKCRAPPIE",26.0000
"AL",1986,"FYKNET",6.0000,"BLACKCRAPPIE",4.0000
"AL",1986,"VGN089",2.0000,"BLACKCRAPPIE",1.8360
"AL",1986,"BSEINE",18.0000,"BLACKNOSESHINER",8.0000
"AL",1986,"ELFISH",4.0000,"BLACKNOSESHINER",1.0000
"AL",1986,"BSEINE",18.0000,"BLUEGILL",149.0000
"AL",1986,"ELFISH",4.0000,"BLUEGILL",101.0000
"AL",1986,"FYKNET",6.0000,"BLUEGILL",46.0000
"AL",1986,"TRAMML",2.0000,"BLUEGILL",60.0000
"AL",1986,"BSEINE",18.0000,"BLUNTNOSEMINNOW",13.0000
"AL",1986,"CRAYTR",30.0000,"BLUNTNOSEMINNOW",1.0000
"AL",1986,"FYKNET",6.0000,"BLUNTNOSEMINNOW",2.0000
"AL",1986,"BSEINE",18.0000,"COMMONSHINER",1.0000
"AL",1986,"ELFISH",4.0000,"COMMONSHINER",3.0000
"AL",1986,"BSEINE",18.0000,"GOLDENSHINER",9.0000
"AL",1986,"ELFISH",4.0000,"GOLDENSHINER",18.0000
"AL",1986,"BSEINE",18.0000,"JOHNNYDARTER",5.0000
"AL",1986,"ELFISH",4.0000,"JOHNNYDARTER",5.0000
"AL",1986,"BSEINE",18.0000,"LARGEMOUTHBASS",3.0000
"AL",1986,"FYKNET",6.0000,"LARGEMOUTHBASS",11.0000
"AL",1986,"VGN019",2.0000,"LARGEMOUTHBASS",0.9100
"AL",1986,"BSEINE",18.0000,"LOGPERCH",1.0000
"AL",1986,"ELFISH",4.0000,"LOGPERCH",8.0000
"AL",1986,"BSEINE",18.0000,"MOTTLEDSCULPIN",1.0000
"AL",1986,"ELFISH",4.0000,"MOTTLEDSCULPIN",1.0000
"AL",1986,"ELFISH",4.0000,"MUSKELLUNGE",2.0000
"AL",1986,"ELFISH",4.0000,"NORTHERNPIKE",3.0000
"AL",1986,"TRAMML",2.0000,"NORTHERNPIKE",1.0000
"AL",1986,"ELFISH",4.0000,"PUMPKINSEED",21.0000
"AL",1986,"FYKNET",6.0000,"PUMPKINSEED",14.0000
"AL",1986,"TRAMML",2.0000,"PUMPKINSEED",6.0000
"AL",1986,"BSEINE",18.0000,"ROCKBASS",3.0000
"AL",1986,"CRAYTR",30.0000,"ROCKBASS",1.0000
"AL",1986,"ELFISH",4.0000,"ROCKBASS",5.0000
"AL",1986,"TRAMML",2.0000,"ROCKBASS",2.0000
"AL",1986,"BSEINE",18.0000,"SMALLMOUTHBASS",1.0000
"AL",1986,"ELFISH",4.0000,"SMALLMOUTHBASS",15.0000
"AL",1986,"BSEINE",18.0000,"UNIDSUNFISH",29.0000
"AL",1986,"CRAYTR",30.0000,"UNIDSUNFISH",6.0000
"AL",1986,"ELFISH",4.0000,"UNIDSUNFISH",5.0000
"AL",1986,"FYKNET",6.0000,"UNIDSUNFISH",95.0000
"AL",1986,"ELFISH",4.0000,"WALLEYE",9.0000
"AL",1986,"VGN019",2.0000,"WALLEYE",0.9370
"AL",1986,"VGN025",2.0000,"WALLEYE",0.9230
"AL",1986,"ELFISH",4.0000,"WHITESUCKER",15.0000
"AL",1986,"FYKNET",6.0000,"WHITESUCKER",3.0000
"AL",1986,"TRAMML",2.0000,"WHITESUCKER",4.0000
"AL",1986,"ELFISH",4.0000,"YELLOWBULLHEAD",2.0000
"AL",1986,"FYKNET",6.0000,"YELLOWBULLHEAD",3.0000
"AL",1986,"TRAMML",2.0000,"YELLOWBULLHEAD",1.0000
"AL",1986,"BSEINE",18.0000,"YELLOWPERCH",34.0000
"AL",1986,"ELFISH",4.0000,"YELLOWPERCH",97.0000
"AL",1986,"FYKNET",6.0000,"YELLOWPERCH",4.0000
"AL",1986,"TRAMML",2.0000,"YELLOWPERCH",22.0000
"AL",1986,"VGN019",2.0000,"YELLOWPERCH",22.0370
"AL",1987,"BSEINE",17.0000,"BLACKCRAPPIE",5.0000
"AL",1987,"FYKNET",6.0000,"BLACKCRAPPIE",2.0000
"AL",1987,"VGN032",2.0000,"BLACKCRAPPIE",0.9900
"AL",1987,"VGN038",2.0000,"BLACKCRAPPIE",0.9820
"AL",1987,"BSEINE",17.0000,"BLUEGILL",135.0000
"AL",1987,"CRAYTR",30.0000,"BLUEGILL",4.0000
"AL",1987,"ELFISH",4.0000,"BLUEGILL",54.0000
"AL",1987,"FYKNET",6.0000,"BLUEGILL",111.0000
"AL",1987,"TRAMML",2.0000,"BLUEGILL",22.0000
"AL",1987,"BSEINE",17.0000,"BLUNTNOSEMINNOW",65.0000
"AL",1987,"FYKNET",6.0000,"BLUNTNOSEMINNOW",4.0000
"AL",1987,"BSEINE",17.0000,"COMMONSHINER",24.0000
"AL",1987,"ELFISH",4.0000,"COMMONSHINER",1.0000
"AL",1987,"FYKNET",6.0000,"COMMONSHINER",1.0000
"AL",1987,"VGN038",2.0000,"COMMONSHINER",0.9820
"AL",1987,"BSEINE",17.0000,"GOLDENSHINER",5.0000
"AL",1987,"VGN019",2.0000,"GOLDENSHINER",1.9790
"AL",1987,"VGN025",2.0000,"GOLDENSHINER",0.9970
"AL",1987,"BSEINE",17.0000,"IOWADARTER",5.0000
"AL",1987,"CRAYTR",30.0000,"JOHNNYDARTER",1.0000
"AL",1987,"BSEINE",17.0000,"LARGEMOUTHBASS",5.0000
"AL",1987,"ELFISH",4.0000,"LARGEMOUTHBASS",13.0000
"AL",1987,"FYKNET",6.0000,"LARGEMOUTHBASS",29.0000
"AL",1987,"VGN019",2.0000,"LARGEMOUTHBASS",0.9900
"AL",1987,"VGN025",2.0000,"LARGEMOUTHBASS",11.9610
"AL",1987,"BSEINE",17.0000,"LOGPERCH",2.0000
"AL",1987,"BSEINE",17.0000,"MIMICSHINER",1.0000
"AL",1987,"FYKNET",6.0000,"MOTTLEDSCULPIN",1.0000
"AL",1987,"ELFISH",4.0000,"MUSKELLUNGE",1.0000
"AL",1987,"ELFISH",4.0000,"NORTHERNPIKE",2.0000
"AL",1987,"TRAMML",2.0000,"NORTHERNPIKE",1.0000
"AL",1987,"BSEINE",17.0000,"PUMPKINSEED",2.0000
"AL",1987,"ELFISH",4.0000,"PUMPKINSEED",39.0000
"AL",1987,"FYKNET",6.0000,"PUMPKINSEED",18.0000
"AL",1987,"TRAMML",2.0000,"PUMPKINSEED",3.0000
"AL",1987,"BSEINE",17.0000,"ROCKBASS",8.0000
"AL",1987,"ELFISH",4.0000,"ROCKBASS",9.0000
"AL",1987,"FYKNET",6.0000,"ROCKBASS",4.0000
"AL",1987,"BSEINE",17.0000,"SMALLMOUTHBASS",4.0000
"AL",1987,"ELFISH",4.0000,"SMALLMOUTHBASS",1.0000
"AL",1987,"BSEINE",17.0000,"UNIDSUNFISH",4.0000
"AL",1987,"ELFISH",4.0000,"WALLEYE",10.0000
"AL",1987,"TRAMML",2.0000,"WALLEYE",3.0000
"AL",1987,"ELFISH",4.0000,"WHITESUCKER",18.0000
"AL",1987,"TRAMML",2.0000,"WHITESUCKER",5.0000
"AL",1987,"ELFISH",4.0000,"YELLOWBULLHEAD",4.0000
"AL",1987,"FYKNET",6.0000,"YELLOWBULLHEAD",4.0000
"AL",1987,"BSEINE",17.0000,"YELLOWPERCH",14.0000
"AL",1987,"ELFISH",4.0000,"YELLOWPERCH",26.0000
"AL",1987,"FYKNET",6.0000,"YELLOWPERCH",4.0000
"AL",1987,"TRAMML",2.0000,"YELLOWPERCH",14.0000
"AL",1987,"VGN019",2.0000,"YELLOWPERCH",56.0160
"AL",1988,"TRAMML",2.0000,"BLACKBULLHEAD",2.0000
"AL",1988,"BSEINE",15.0000,"BLACKCRAPPIE",4.0000
"AL",1988,"FYKNET",6.0000,"BLACKCRAPPIE",1.0000
"AL",1988,"BSEINE",15.0000,"BLACKNOSESHINER",2.0000
"AL",1988,"BSEINE",15.0000,"BLUEGILL",95.0000
"AL",1988,"CRAYTR",30.0000,"BLUEGILL",9.0000
"AL",1988,"FYKNET",6.0000,"BLUEGILL",81.0000
"AL",1988,"TRAMML",2.0000,"BLUEGILL",56.0000
"AL",1988,"BSEINE",15.0000,"BLUNTNOSEMINNOW",25.0000
"AL",1988,"BSEINE",15.0000,"COMMONSHINER",1.0000
"AL",1988,"BSEINE",15.0000,"GOLDENSHINER",3.0000
"AL",1988,"VGN019",2.0000,"HORNYHEADCHUB",2.0280
"AL",1988,"VGN025",2.0000,"HORNYHEADCHUB",4.1880
"AL",1988,"BSEINE",15.0000,"JOHNNYDARTER",5.0000
"AL",1988,"VGN025",2.0000,"LARGEMOUTHBASS",6.1500
"AL",1988,"TRAMML",2.0000,"MUSKELLUNGE",1.0000
"AL",1988,"TRAMML",2.0000,"NORTHERNPIKE",13.0000
"AL",1988,"CRAYTR",30.0000,"PUMPKINSEED",4.0000
"AL",1988,"FYKNET",6.0000,"PUMPKINSEED",20.0000
"AL",1988,"TRAMML",2.0000,"PUMPKINSEED",31.0000
"AL",1988,"BSEINE",15.0000,"ROCKBASS",9.0000
"AL",1988,"CRAYTR",30.0000,"ROCKBASS",1.0000
"AL",1988,"FYKNET",6.0000,"ROCKBASS",5.0000
"AL",1988,"TRAMML",2.0000,"ROCKBASS",6.0000
"AL",1988,"TRAMML",2.0000,"SMALLMOUTHBASS",1.0000
"AL",1988,"VGN019",2.0000,"SMALLMOUTHBASS",1.0550
"AL",1988,"VGN038",2.0000,"UNIDMINNOW",0.9730
"AL",1988,"TRAMML",2.0000,"WALLEYE",5.0000
"AL",1988,"VGN038",2.0000,"WALLEYE",1.0260
"AL",1988,"VGN089",2.0000,"WALLEYE",0.9600
"AL",1988,"TRAMML",2.0000,"WHITESUCKER",2.0000
"AL",1988,"FYKNET",6.0000,"YELLOWBULLHEAD",3.0000
"AL",1988,"TRAMML",2.0000,"YELLOWBULLHEAD",17.0000
"AL",1988,"BSEINE",15.0000,"YELLOWPERCH",1.0000
"AL",1988,"CRAYTR",30.0000,"YELLOWPERCH",1.0000
"AL",1988,"FYKNET",6.0000,"YELLOWPERCH",1.0000
"AL",1988,"TRAMML",2.0000,"YELLOWPERCH",6.0000
"AL",1988,"VGN019",2.0000,"YELLOWPERCH",215.2660
"AL",1988,"VGN025",2.0000,"YELLOWPERCH",4.1330
"AL",1988,"VGN032",2.0000,"YELLOWPERCH",18.8420
"AL",1988,"VGN038",2.0000,"YELLOWPERCH",24.0010
"AL",1989,"FYKNET",6.0000,"BLACKBULLHEAD",3.0000
"AL",1989,"TRAMML",2.0000,"BLACKBULLHEAD",1.0000
"AL",1989,"BSEINE",18.0000,"BLACKCRAPPIE",12.0000
"AL",1989,"ELFISH",4.0000,"BLACKCRAPPIE",3.0000
"AL",1989,"FYKNET",6.0000,"BLACKCRAPPIE",3.0000
"AL",1989,"TRAMML",2.0000,"BLACKCRAPPIE",3.0000
"AL",1989,"VGN038",2.0000,"BLACKCRAPPIE",1.0200
